"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test with steps","This will create a new user","SUCCESS","2023-01-05T13:16:13.967Z[Europe/London]","0.0","8.17"
"User CRUD test with steps","verify if user added to the application","SUCCESS","2023-01-05T13:16:22.178Z[Europe/London]","0.0","0.79"
"User CRUD test with steps","Update the user information and verify the updated information","SUCCESS","2023-01-05T13:16:22.973Z[Europe/London]","0.0","1.17"
"User CRUD test with steps","Delete the user and verify if the user is deleted!","SUCCESS","2023-01-05T13:16:24.145Z[Europe/London]","0.0","1.13"
