"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test with steps","This will create a new petID","SUCCESS","2023-01-05T13:16:13.967Z[Europe/London]","0.0","8.19"
"Pet CRUD test with steps","verify if pet added to the application","SUCCESS","2023-01-05T13:16:22.200Z[Europe/London]","0.0","0.86"
"Pet CRUD test with steps","Update the pet information and verify the updated information","SUCCESS","2023-01-05T13:16:23.058Z[Europe/London]","0.0","1.15"
"Pet CRUD test with steps","Delete the pet and verify if the user is deleted!","SUCCESS","2023-01-05T13:16:24.206Z[Europe/London]","0.0","1.13"
